,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
15,Alimentació,Productes internacionals,-,-,-,MIE ASLI Tallarines indonesis,"1,69 €",0.2kg,"(8,45 € per quilo)"
16,Alimentació,Productes internacionals,-,-,-,YANG TSE Salsa agredolça,"1,35 €",0.2kg,"(6,75 € per quilo)"
17,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Sopa Miso instant,"2,85 €",5 x 0.018kg,"(31,67 € per quilo)"
18,Alimentació,Productes internacionals,-,-,-,ZANUY Jalapeño a rodanxes,"1,69 €",0.225kg,"(7,51 € per quilo)"
19,Alimentació,Productes internacionals,-,-,-,PATAK'S Salsa Curry Korma,"2,49 €",0.35kg,"(7,11 € per quilo)"
20,Alimentació,Productes internacionals,-,-,-,SUSHI KING Udon fresc,"3,89 €",0.6kg,"(6,48 € per quilo)"
21,Alimentació,Productes internacionals,-,-,-,PATAK'S Salsa Tikka Masala,"2,49 €",0.35kg,"(7,11 € per quilo)"
22,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Pasta rotllets primavera,"2,75 €",0.134kg,"(20,52 € per quilo)"
23,Alimentació,Productes internacionals,-,-,-,SUSHI KING Arròs per sushi,"2,99 €",1kg,"(2,99 € per quilo)"
24,Alimentació,Productes internacionals,-,-,-,YANG TSE Pals de bambú,"1,00 €",8 per paquet,"(0,13 € per article)"
25,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
26,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Tempura,"2,79 €",0.15kg,"(18,60 € per quilo)"
27,Alimentació,Productes internacionals,-,-,-,GO-TAN Salsa Sambal Oelek de xili,"1,69 €",0.1kg,"(16,90 € per quilo)"
28,Alimentació,Productes internacionals,-,-,-,YANG-TSE Suc de coco,"1,59 €",0.4L,"(3,98 € per litre)"
29,Alimentació,Productes internacionals,-,-,-,UDON Tallarines japonès Noodles,"1,95 €",0.3kg,"(6,50 € per quilo)"
30,Congelats,Gel i glaçons,-,-,-,FERRER Glaçons,"0,79 €",2kg,"(0,40 € per quilo)"
31,Congelats,Gel i glaçons,-,-,-,FERRER Gel per còctels i mojitos,"1,35 €",2kg,"(0,68 € per quilo)"
32,Nadal,Formatges,-,-,-,CASTELLO Formatge amb pinya,"1,59 €",0.125kg,"(12,72 € per quilo)"
33,Nadal,Formatges,-,-,-,EMMI ROSETTES Formatge Tete de Moine,"4,69 €",0.1kg,"(46,90 € per quilo)"
34,Nadal,Formatges,-,-,-,GARCíA BAQUERO Formatge semicurat de mescla,"5,99 €",0.465kg,"(12,88 € per quilo)"
35,Nadal,Formatges,-,-,-,FLEUR DES MONTS Formatge de cabra amb mel,"1,63 €",0.1kg,"(16,30 € per quilo)"
36,Nadal,Formatges,-,-,-,EL PASTOR Formatge de cabra amb pinya,"1,55 €",0.1kg,"(15,50 € per quilo)"
37,Nadal,Formatges,-,-,-,FORVAL Assortit de formatges,"5,95 €",0.38kg,"(15,66 € per quilo)"
38,Nadal,Formatges,-,-,-,ZANETTI Formatge Grana Padano ratllat en escates,"1,99 €",0.1kg,"(19,90 € per quilo)"
39,Nadal,Formatges,-,-,-,EL PASTOR Formatge de cabra amb papaia,"1,55 €",0.1kg,"(15,50 € per quilo)"
40,Nadal,Formatges,-,-,-,ZANETTI Formatge parmigiano reggiano escates,"2,89 €",0.1kg,"(28,90 € per quilo)"
41,Nadal,Formatges,-,-,-,OLD AMSTERDAM Formatge de vaca a daus,"3,19 €",0.15kg,"(21,27 € per quilo)"
42,Nadal,Formatges,-,-,-,"MOLÍ ALZINA Trio formatge de cabra, ovella i vaca","8,95 €",0.45kg,"(19,89 € per quilo)"
43,Nadal,Formatges,-,-,-,EL PASTOR Taula formatges selecció,"2,99 €",0.18kg,"(16,61 € per quilo)"
44,Nadal,Formatges,-,-,-,PAPILLON Formatge d'ovella Ron Du Val,"3,39 €",0.15kg,"(22,60 € per quilo)"
45,Congelats,Fleca,-,-,-, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)"
46,Congelats,Fleca,-,-,-, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)"
47,Congelats,Fleca,-,-,-, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)"
48,Congelats,Fleca,-,-,-,MAHESO Baguetines congelades,"1,99 €",4 per paquet,"(0,50 € per article)"
49,Congelats,Fleca,-,-,-,MAHESO Porres,"2,45 €",0.32kg,"(7,66 € per quilo)"
50,Congelats,Fleca,-,-,-,MAHESO Xurros llaç,"1,35 €",0.4kg,"(3,38 € per quilo)"
51,Congelats,Fleca,-,-,-, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)"
52,Congelats,Fleca,-,-,-, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)"
53,Congelats,Fleca,-,-,-, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)"
54,Congelats,Fleca,-,-,-,HORNO TERESA Trena de panses,"5,95 €",0.35kg,"(17,00 € per quilo)"
55,Nadal,Neules,-,-,-,SOSA Neuló tradicional,"1,99 €",16 per paquet,"(0,12 € per article)"
56,Nadal,Neules,-,-,-,SOSA Neules artesanes amb xocolata,"3,20 €",0.18kg,"(17,78 € per quilo)"
57,Nadal,Neules,-,-,-,SOSA Neuló tradicional xocolata,"3,50 €",14 per paquet,"(0,25 € per article)"
58,Nadal,Neules,-,-,-,SOSA Neules de xocolata,"1,50 €",0.11kg,"(13,64 € per quilo)"
59,Nadal,Neules,-,-,-,SOSA Neuló tradicional,"2,79 €",0.18kg,"(15,50 € per quilo)"
60,Nadal,Neules,-,-,-,ANTIU XIXONA Neules farcides de torró,"2,99 €",0.2kg,"(14,95 € per quilo)"
61,Nadal,Neules,-,-,-,SOSA Neuló tradicional xocolata blanca,"3,50 €",14 per paquet,"(0,25 € per article)"
62,Nadal,Neules,-,-,-,SOSA Neula sense sucre,"3,25 €",0.09kg,"(36,11 € per quilo)"
63,Nadal,Neules,-,-,-,BONPREU Neules,"0,99 €",25 per paquet,"(0,04 € per article)"
64,Nadal,Neules,-,-,-,SOSA Neules de xocolata blanca,"2,95 €",0.225kg,"(13,11 € per quilo)"
65,Nadal,Neules,-,-,-,SOSA Neules de xocolata blanca i negre,"2,99 €",0.225kg,"(13,29 € per quilo)"
66,Nadal,Neules,-,-,-,TRIAS Neules sense gluten,"2,25 €",0.1kg,"(22,50 € per quilo)"
67,Nadal,Neules,-,-,-,TRIAS Neules de xocolata Km0 sense gluten,"4,50 €",0.165kg,"(27,27 € per quilo)"
68,Nadal,Avança't al Nadal,-,-,-,PARXET Cava Brut Nature Vintage,"11,65 €",0.75L,"(15,53 € per litre)"
69,Nadal,Avança't al Nadal,-,-,-,MONTBRÚ Formatge de cabra semicurat km0,"23,95 €",1kg,"(23,95 € per quilo)"
